状态,旧编号,新标签,资产类型,照片序号,源路径,目标路径,文件大小,操作类型,归档路径,执行时间,错误信息
成功,OLD001,AST-2024-001,hardware,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD001_laptop\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-001\AST-2024-001_0001.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD001\OLD001_0001.jpg,2026-06-05T15:38:23.524183,
成功,OLD001,AST-2024-001,hardware,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD001_laptop\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-001\AST-2024-001_0002.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD001\OLD001_0002.jpg,2026-06-05T15:38:23.525912,
成功,OLD001,AST-2024-001,hardware,3,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD001_laptop\IMG_0003.png,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-001\AST-2024-001_0003.png,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD001\OLD001_0003.png,2026-06-05T15:38:23.528618,
成功,OLD002,AST-2024-002,hardware,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD002_monitor\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-002\AST-2024-002_0001.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD002\OLD002_0001.jpg,2026-06-05T15:38:23.530028,
成功,OLD002,AST-2024-002,hardware,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD002_monitor\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-002\AST-2024-002_0002.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\hardware\OLD002\OLD002_0002.jpg,2026-06-05T15:38:23.532230,
成功,OLD003,AST-2024-003,software,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD003_software\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\software\AST-2024-003\AST-2024-003_0001.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\software\OLD003\OLD003_0001.jpg,2026-06-05T15:38:23.534504,
成功,OLD003,AST-2024-003,software,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD003_software\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\software\AST-2024-003\AST-2024-003_0002.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\software\OLD003\OLD003_0002.jpg,2026-06-05T15:38:23.535960,
成功,OLD003,AST-2024-003,software,3,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD003_software\IMG_0003.png,D:\workSpace\AI__SPACE\zzz-00009\examples\target\software\AST-2024-003\AST-2024-003_0003.png,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\software\OLD003\OLD003_0003.png,2026-06-05T15:38:23.538880,
成功,OLD003,AST-2024-003,software,4,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD003_software\IMG_0004.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\software\AST-2024-003\AST-2024-003_0004.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\software\OLD003\OLD003_0004.jpg,2026-06-05T15:38:23.540390,
成功,OLD004,AST-2024-004,document,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0001.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\document\OLD004\OLD004_0001.jpg,2026-06-05T15:38:23.543210,
成功,OLD004,AST-2024-004,document,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0002.jpg,1040,copy,D:\workSpace\AI__SPACE\zzz-00009\examples\archive\document\OLD004\OLD004_0002.jpg,2026-06-05T15:38:23.544968,
