状态,旧编号,新标签,照片序号,源路径,目标路径,回滚操作,执行时间,错误信息
已回滚,OLD008,AST-2024-008,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD008_mouse\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-008\AST-2024-008_0002.jpg,undo_move,2026-06-05T15:42:39.049603,
已回滚,OLD008,AST-2024-008,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD008_mouse\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-008\AST-2024-008_0001.jpg,undo_move,2026-06-05T15:42:39.050582,
已回滚,OLD007,AST-2024-007,3,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD007_keyboard\IMG_0003.png,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-007\AST-2024-007_0003.png,undo_move,2026-06-05T15:42:39.052656,
已回滚,OLD007,AST-2024-007,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD007_keyboard\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-007\AST-2024-007_0002.jpg,undo_move,2026-06-05T15:42:39.053634,
已回滚,OLD007,AST-2024-007,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD007_keyboard\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-007\AST-2024-007_0001.jpg,undo_move,2026-06-05T15:42:39.054707,
已回滚,OLD006,AST-2024-006,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD006_printer\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-006\AST-2024-006_0002.jpg,undo_move,2026-06-05T15:42:39.055545,
已回滚,OLD006,AST-2024-006,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD006_printer\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-006\AST-2024-006_0001.jpg,undo_move,2026-06-05T15:42:39.056570,
已回滚,OLD005,AST-2024-005,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD005_misc\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\other\AST-2024-005\AST-2024-005_0001.jpg,undo_move,2026-06-05T15:42:39.057939,
已回滚,OLD004,AST-2024-004,5,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0005.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0005.jpg,undo_move,2026-06-05T15:42:39.058883,
已回滚,OLD004,AST-2024-004,4,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0004.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0004.jpg,undo_move,2026-06-05T15:42:39.059945,
已回滚,OLD004,AST-2024-004,3,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0003.png,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0003.png,undo_move,2026-06-05T15:42:39.061324,
已回滚,OLD004,AST-2024-004,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0002.jpg,undo_move,2026-06-05T15:42:39.062301,
已回滚,OLD004,AST-2024-004,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD004_docs\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\document\AST-2024-004\AST-2024-004_0001.jpg,undo_move,2026-06-05T15:42:39.063297,
已回滚,OLD003,AST-2024-003,4,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD003_software\IMG_0004.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\software\AST-2024-003\AST-2024-003_0004.jpg,undo_move,2026-06-05T15:42:39.064242,
已回滚,OLD003,AST-2024-003,3,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD003_software\IMG_0003.png,D:\workSpace\AI__SPACE\zzz-00009\examples\target\software\AST-2024-003\AST-2024-003_0003.png,undo_move,2026-06-05T15:42:39.065437,
已回滚,OLD003,AST-2024-003,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD003_software\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\software\AST-2024-003\AST-2024-003_0002.jpg,undo_move,2026-06-05T15:42:39.066720,
已回滚,OLD003,AST-2024-003,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD003_software\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\software\AST-2024-003\AST-2024-003_0001.jpg,undo_move,2026-06-05T15:42:39.067715,
已回滚,OLD002,AST-2024-002,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD002_monitor\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-002\AST-2024-002_0002.jpg,undo_move,2026-06-05T15:42:39.068764,
已回滚,OLD002,AST-2024-002,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD002_monitor\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-002\AST-2024-002_0001.jpg,undo_move,2026-06-05T15:42:39.070331,
已回滚,OLD001,AST-2024-001,3,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD001_laptop\IMG_0003.png,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-001\AST-2024-001_0003.png,undo_move,2026-06-05T15:42:39.076146,
已回滚,OLD001,AST-2024-001,2,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD001_laptop\IMG_0002.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-001\AST-2024-001_0002.jpg,undo_move,2026-06-05T15:42:39.077538,
已回滚,OLD001,AST-2024-001,1,D:\workSpace\AI__SPACE\zzz-00009\examples\source\OLD001_laptop\IMG_0001.jpg,D:\workSpace\AI__SPACE\zzz-00009\examples\target\hardware\AST-2024-001\AST-2024-001_0001.jpg,undo_move,2026-06-05T15:42:39.081963,
